34.0,636.4,269.0,4551,583.65,337.8,4.848,16120,189.5,1030.4
34.68,635.2,269.1,4605,581.4,336.8,4.8612,16106,189.0,1047.8
35.76,640.0,269.7,4689,583.38,338.0,4.872,16138,190.0,1055.0
34.6,643.6,269.0,4695,586.8,338.5,4.8744,16040,191.5,1058.8
33.88,644.8,265.5,4686,589.5,339.6,4.8732,16090,188.0,1051.2
32.4,627.2,262.4,4740,592.2,340.2,4.8762,16102,187.0,1053.6
34.0,629.2,262.0,4725,594.45,342.0,4.8732,16014,189.5,1048.0
32.8,632.0,263.5,4740,597.87,341.4,4.8498,16080,188.0,1050.8
33.48,635.2,265.0,4785,598.5,343.2,4.8372,16046,187.5,1052.0
33.2,637.2,265.02,4728,600.75,344.0,4.8534,16124,186.8,1038.4
33.6,638.4,268.5,4728,603.0,342.8,4.8558,16088,186.8,1036.0
33.92,639.6,268.1,4830,555.57,340.4,4.839,16098,185.2,1031.6
35.44,643.6,269.0,4800,566.55,343.0,4.8408,16116,185.0,1032.4
35.36,641.2,268.0,4770,567.0,344.5,4.8432,16156,181.0,1023.2
36.32,642.0,270.5,4665,562.95,344.0,4.8678,16100,180.0,1014.2
36.44,645.36,268.0,4695,577.35,344.0,4.8648,16106,181.7,1020.8
37.28,646.4,264.0,4806,592.65,347.4,4.8648,16066,189.0,1033.2
37.0,647.2,260.5,4782,596.25,346.0,4.8432,16068,186.0,1042.0
36.88,648.16,263.4,4851,595.8,329.0,4.833,15966,187.0,1020.4
36.44,649.6,264.6,5019,592.2,331.6,4.8246,16060,188.8,1002.4
37.8,647.2,266.48,5016,581.22,330.7,4.8252,16038,188.5,1015.6
37.8,647.6,266.8,5031,583.02,333.5,4.8204,16056,187.0,1014.0
37.44,648.4,262.9,4986,585.9,334.8,4.8294,16134,186.8,1005.6
37.0,647.2,262.0,5148,592.65,331.6,4.8204,16102,188.9,1020.0
36.6,647.6,260.8,5001,587.25,332.6,4.848,16078,188.9,1015.2
36.84,612.0,260.52,4815,588.15,334.6,4.8366,16048,190.2,1016.4
38.24,607.2,265.0,4830,595.8,336.4,4.848,16024,197.0,1014.4
38.72,612.8,269.2,4833,603.18,335.6,4.86,16010,199.0,1056.0
39.0,610.0,265.7,4764,596.52,336.8,4.8654,15884,196.5,1066.0
38.88,612.4,270.8,4761,595.35,338.5,4.8762,15926,197.5,1070.8
40.8,602.4,276.0,4755,604.8,342.8,4.869,15838,200.0,1064.4
40.76,602.8,275.4,4746,611.55,348.5,4.869,15920,205.8,1065.6
39.8,608.4,276.0,4701,592.2,348.2,4.911,15984,206.7,1064.8
38.72,604.56,273.6,4617,594.45,345.6,4.9092,15978,209.2,1088.6
40.24,600.0,279.5,4665,596.7,347.6,4.929,16010,206.8,1088.8
39.92,601.2,275.0,4608,599.85,349.8,4.9098,15964,207.0,1085.6
38.52,594.0,270.0,4650,597.6,351.2,4.902,16110,207.0,1102.0
39.32,584.0,268.0,4668,605.43,347.4,4.899,15968,203.5,1096.0
39.24,562.16,274.2,4680,622.8,349.7,4.9176,16034,200.8,1086.8
38.68,575.6,274.2,4500,613.89,350.1,4.923,16030,199.0,1087.6
42.32,563.2,275.5,4560,621.0,352.3,4.9392,15986,193.0,1082.0
43.6,564.0,271.2,4515,624.6,352.0,4.9542,15956,196.1,1093.2
44.12,572.0,272.3,4560,614.25,350.3,4.9332,15700,194.0,1115.6
43.4,562.56,270.2,4554,608.4,350.0,4.956,15648,193.5,1111.6
43.28,564.8,266.0,4650,588.6,355.5,4.965,15532,194.5,1110.8
44.6,559.2,264.0,4560,608.4,362.7,4.923,15362,194.5,1096.0
52.8,577.6,266.5,4575,616.5,377.2,4.9668,15440,193.0,1082.4
